state,city,center_num,center_avg,city_avg,Marks
MAHARASHTRA,NAGPUR,311117,220.34496124031008,212.48165869218502,202.28110229068648
MAHARASHTRA,NAGPUR,311118,217.6705426356589,212.48165869218502,202.28110229068648
MAHARASHTRA,NAGPUR,311119,213.05668016194332,212.48165869218502,202.28110229068648
MAHARASHTRA,NAGPUR,311120,202.25646551724137,212.48165869218502,202.28110229068648
MAHARASHTRA,NAGPUR,311121,220.89721627408994,212.48165869218502,202.28110229068648
MAHARASHTRA,NAGPUR,311122,204.1965811965812,212.48165869218502,202.28110229068648
MAHARASHTRA,NAGPUR,311123,212.4221748400853,212.48165869218502,202.28110229068648
MAHARASHTRA,NAGPUR,311124,208.385,212.48165869218502,202.28110229068648
MAHARASHTRA,NAGPUR,311125,196.312,212.48165869218502,202.28110229068648
MAHARASHTRA,NAGPUR,311126,182.3653846153846,212.48165869218502,202.28110229068648
MAHARASHTRA,NANDED,311201,223.79294117647058,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311202,225.8144611186903,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311203,221.84062059238363,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311204,225.63556851311952,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311205,232.28362573099415,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311206,231.76018808777428,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311207,242.06375838926175,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311208,225.38566552901023,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311209,233.140350877193,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311210,237.4183486238532,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311211,224.80467091295117,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311212,237.5337552742616,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311213,219.60631578947368,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311214,235.35106382978722,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311215,225.68365180467092,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311216,225.74946921443737,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311217,231.66382978723405,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311218,235.54332552693208,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311219,238.9504716981132,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311220,227.5748218527316,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311221,225.66137566137567,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311222,234.11315789473684,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311223,232.35356200527704,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311224,247.90691489361703,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311225,233.015873015873,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311226,217.68882978723406,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311227,232.21629213483146,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311228,239.0284090909091,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311229,219.58640226628896,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311230,224.84873949579833,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311231,230.5099150141643,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311232,239.13105413105413,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311233,227.69467787114846,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311234,231.9108635097493,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311235,218.85393258426967,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311236,219.74858757062148,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311237,206.57627118644066,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311238,244.79934210526315,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311239,225.6742671009772,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311240,237.74468085106383,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311241,226.8109243697479,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311242,234.21097046413502,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311243,268.9830508474576,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311244,229.2426778242678,229.79000410415432,202.28110229068648
